5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,6
4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,2,0,0,0,0,0,2
4,0,5,1,6,0,0,4,0,0,5,1,1,0,1,6,0,0,4,0,0,5,1,1,1,1,1,1,1,6,0,0,0,4,9,2,0,0,2,0,0,2,0,0,2,0,0,2
4,0,4,0,2,0,0,4,0,0,4,0,0,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,5,0,0,0,4,9,2,0,0,2,0,0,2,0,0,2,0,0,2
4,0,4,0,2,0,0,4,0,0,4,0,0,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,2,0,0,2,0,0,2,0,0,2
4,0,4,0,2,0,0,4,0,0,4,0,0,0,0,2,0,0,4,0,0,4,0,0,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2
4,0,4,0,2,0,0,4,0,0,4,0,0,0,0,2,0,0,4,0,0,4,0,0,2,0,0,0,0,4,0,0,0,8,3,3,3,3,3,3,3,3,3,3,7,0,0,2
4,0,4,0,2,0,0,4,0,0,4,9,0,0,9,2,0,0,4,0,0,4,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,0,2,0,0,4,0,5,1,1,1,1,1,1,0,0,4,0,0,4,0,0,2,0,0,0,0,4,0,0,0,4,0,1,1,6,0,0,0,0,0,0,0,0,0,2
5,1,1,1,1,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,4,0,4,0,0,3,3,3,3,3,3,8,3,3,3,3,3,7,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,9,2,0,0,0,0,0,0,0,0,0,2
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,0,0,0,5,1,1,6,0,0,0,0,0,0,0,4,0,0,0,8,3,3,3,7,3,3,3,3,3,3,3,3,3,7
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,2,1,1,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,2,9,9,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,1,1,5,1,1,1,1,5,1,5,1,6,1,6
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,9,4,9,2,0,2
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,4,0,2,0,2
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,2,0,0,8,3,3,3,3,0,0,3,3,3,3,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,2
4,0,0,4,0,0,0,4,0,4,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,8,3,3,3,4,0,4,0,0,8,3,3,7,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,2
4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,4,0,2,0,2
4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,4,0,2,0,2
8,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,3,3,3,8,3,3,3,8,3,3,8,3,3,3,3,8,3,8,3,7,3,7
